"","rules","support","confidence","lift","count"
"27","{lobby} => {phone}",0.636363636363636,1,1.375,14
"87","{mirror} => {phone}",0.590909090909091,0.928571428571429,1.27678571428571,13
"134","{kitchen} => {phone}",0.590909090909091,0.928571428571429,1.27678571428571,13
"972","{exits,lobby} => {phone}",0.590909090909091,1,1.375,13
"979","{knock,lobby} => {phone}",0.636363636363636,1,1.375,14
"1068","{evening,exits} => {phone}",0.590909090909091,1,1.375,13
"1319","{dressed,reading} => {phone}",0.590909090909091,1,1.375,13
"1471","{exits,plays} => {phone}",0.590909090909091,1,1.375,13
"1965","{exits,itll} => {phone}",0.590909090909091,0.928571428571429,1.27678571428571,13
"1969","{exits,knock} => {phone}",0.590909090909091,1,1.375,13
"1972","{exits,road} => {phone}",0.590909090909091,1,1.375,13
"1975","{exits,playing} => {phone}",0.590909090909091,1,1.375,13
"2275","{note,road} => {phone}",0.590909090909091,0.928571428571429,1.27678571428571,13
"2278","{moments,revealing} => {phone}",0.590909090909091,0.928571428571429,1.27678571428571,13
"9997","{exits,knock,lobby} => {phone}",0.590909090909091,1,1.375,13
