"","rules","support","confidence","lift","count"
"1372","{belt,rear} => {shit}",0.590909090909091,1,1.375,13
"1740","{brings,jesus} => {shit}",0.590909090909091,1,1.375,13
"2212","{christ,pants} => {shit}",0.590909090909091,1,1.375,13
"2216","{brings,christ} => {shit}",0.590909090909091,1,1.375,13
"2218","{christ,fires} => {shit}",0.590909090909091,1,1.375,13
"2221","{christ,rear} => {shit}",0.590909090909091,1,1.375,13
"2224","{christ,using} => {shit}",0.590909090909091,1,1.375,13
"3326","{hours,using} => {shit}",0.590909090909091,1,1.375,13
"3533","{driving,shoot} => {shit}",0.590909090909091,1,1.375,13
"4094","{pants,rear} => {shit}",0.590909090909091,1,1.375,13
"6030","{brings,gave} => {shit}",0.590909090909091,1,1.375,13
"7943","{brings,wipes} => {shit}",0.590909090909091,1,1.375,13
"7960","{brings,rear} => {shit}",0.590909090909091,1,1.375,13
"10154","{belt,rear,using} => {shit}",0.590909090909091,1,1.375,13
"10317","{brings,christ,jesus} => {shit}",0.590909090909091,1,1.375,13
"10506","{christ,rear,using} => {shit}",0.590909090909091,1,1.375,13
"11218","{hours,rear,using} => {shit}",0.590909090909091,1,1.375,13
"11642","{pants,rear,using} => {shit}",0.590909090909091,1,1.375,13
"11986","{clothes,security,using} => {shit}",0.590909090909091,1,1.375,13
"13687","{clothes,rear,using} => {shit}",0.590909090909091,1,1.375,13
"13695","{brings,rear,using} => {shit}",0.590909090909091,1,1.375,13
"13699","{rear,sign,using} => {shit}",0.590909090909091,1,1.375,13
"15077","{clothes,rear,security,using} => {shit}",0.590909090909091,1,1.375,13
