"","Action_Batman.txt","Action_Fight-Club.txt","Adventure_Avatar.txt","Adventure_Dances-with-Wolves.txt","Comedy_Austin-Powers---The-Spy-Who-Shagged-Me.txt","Comedy_Horrible-Bosses.txt","Crime_American-History-X.txt","Crime_Fargo.txt","Family_Happy-Fee.txt","Family_Shrek.txt","Fantasy_Butterfly-Effect,-The.txt","Fantasy_Star-Wars-The-Force-Awakens.txt","Horror_Scream-2.txt","Horror_Shining,-The.txt","Romance_Midnight-in-Paris.txt","Romance_Twilig.txt","SciFi_Alien.txt","SciFi_Men-in-Black.txt","Thriller_Eagle-Eye.txt","Thriller_Hunt-for-Red-October,-The.txt","War_Inglourious-Basterds.txt","War_Saving-Private-Ryan.txt"
"abruptly",2,1,1,2,0,1,1,1,0,0,0,0,0,0,0,17,5,0,3,0,1,0
"absolutely",2,2,0,2,1,0,0,0,0,0,0,0,1,3,1,7,1,1,2,0,0,1
"action",5,3,0,2,0,43,5,3,1,0,0,0,2,0,2,2,3,1,1,0,3,5
"address",3,4,0,0,0,2,1,0,0,0,1,0,0,0,1,3,0,3,3,2,0,1
"adjusting",1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
"advances",4,1,2,0,2,0,1,1,1,0,0,0,1,0,0,1,4,1,0,0,0,1
"afternoon",4,3,1,4,0,0,3,1,1,0,2,0,3,0,1,12,2,0,6,1,2,2
"agony",2,0,2,1,1,0,1,0,0,0,4,6,0,0,0,3,3,0,1,0,1,1
"aisle",2,2,3,0,0,0,1,0,0,0,2,0,14,0,1,0,0,0,5,1,2,0
"alarm",2,0,7,1,9,2,0,1,0,0,3,4,7,0,0,1,1,2,4,2,0,0
"alert",2,0,1,2,1,1,0,0,0,0,0,5,0,0,0,0,2,0,5,1,1,1
"amazing",1,0,1,1,3,0,0,0,0,3,3,1,0,2,3,2,0,0,0,1,0,0
"among",5,0,27,4,0,1,1,0,5,0,1,4,2,0,0,0,1,2,5,0,3,7
"angle",38,0,7,1,7,4,0,0,0,0,7,4,3,29,0,3,12,0,0,4,1,2
"angrily",1,0,1,2,0,2,1,2,1,0,2,1,0,0,0,1,1,0,0,0,0,0
"animal",1,3,9,1,3,0,0,0,1,3,0,1,1,0,0,3,1,4,0,0,1,0
"apart",1,2,0,4,0,0,0,1,1,1,2,2,2,0,0,2,1,7,1,2,2,8
"apartment",20,4,1,0,1,7,7,1,0,0,0,0,0,38,1,0,0,1,14,0,6,0
"apparently",1,0,0,1,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0,2,4,0
"appreciate",1,1,0,0,2,0,0,0,0,1,1,1,0,3,1,0,0,1,0,1,2,0
"approach",1,1,10,2,2,0,1,1,1,0,0,5,0,0,0,0,7,2,2,3,4,2
"armed",4,1,6,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,4,8,1,2
"army",4,5,2,10,8,0,2,0,0,1,4,1,0,0,0,0,0,1,5,4,6,10
"arrived",1,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,1,1,0
"aside",1,2,3,4,0,0,1,1,3,0,0,1,2,1,0,1,2,6,1,0,6,2
"asked",2,8,0,6,0,1,0,1,0,0,2,1,0,1,2,2,0,2,0,2,1,0
"asleep",1,7,1,3,0,1,2,0,0,2,1,0,1,9,3,1,0,1,0,2,1,0
"attached",1,0,2,1,0,0,0,0,0,2,2,0,7,0,0,1,3,0,2,0,2,0
"backwards",1,2,2,0,5,0,2,0,1,0,5,0,5,10,0,1,0,1,1,0,2,0
"ball",1,4,6,1,0,0,5,2,2,0,6,2,0,7,0,10,3,9,0,1,0,2
"balls",1,3,1,0,3,3,1,0,0,0,3,0,0,0,0,0,0,1,1,0,4,0
"band",1,4,0,4,5,0,2,0,2,1,0,0,1,0,1,0,0,0,3,1,2,3
"bangs",1,0,2,2,1,0,4,1,1,1,3,0,0,0,0,0,0,2,0,0,1,0
"bank",4,6,7,12,1,0,0,3,0,0,0,3,0,1,2,1,2,0,9,3,0,0
"barely",2,0,10,1,0,3,1,1,0,0,0,2,1,0,0,5,3,1,1,2,0,6
"base",3,2,14,4,12,0,0,0,1,0,0,94,0,0,0,0,19,2,4,4,0,3
"based",1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,0,2,0,1,1
"bathroom",9,11,1,0,0,15,17,7,0,0,4,0,7,31,4,4,0,0,5,0,0,0
"battered",1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,3
"battle",1,0,10,6,2,0,1,0,0,1,0,10,0,0,0,1,2,6,1,7,5,5
"beach",1,0,0,0,7,2,8,0,5,0,0,0,0,0,1,8,0,1,1,1,1,15
"beam",1,1,0,1,2,0,0,0,1,0,0,2,0,0,0,0,6,3,2,0,3,0
"beast",1,0,7,0,0,0,0,0,1,7,0,2,0,0,0,1,1,1,0,1,2,0
"beauty",4,0,1,1,1,0,1,0,0,2,1,0,0,1,3,3,0,0,0,0,1,0
"bedroom",11,8,0,0,1,14,36,10,0,2,9,0,1,29,0,3,0,0,0,0,3,0
"beginning",4,4,0,3,2,1,1,0,6,1,2,2,0,0,2,0,1,2,1,1,5,0
"belly",4,0,1,3,0,2,1,2,0,0,1,1,0,1,0,0,1,1,0,2,0,5
